Key,fr-fr,sv,de,es-es,es-es-female,ru,ru-female,uk,uk-female,zh-hans,ja,pt-br,pt-br-female
skill_gourmet_title,Gourmet,Gourmet,Gurme,Gourmet,,Гурман,,Гурман,,美食家,グルメ,Gourmet,
skill_gourmet_desc,Consommez un aliment dans votre coffre. Guérit toute la faim. Gagnez de l'énergy par rapport au prix de l'objet consommé.,Konsumera mat från din baklucka. Ta bort all hunger. Få energy relativt till priset på den konsummerade maten.,Bagajınızdaki bir yiyeceği tüketin. Tüm açlığınızı giderin. Tüketilen ürünün fiyatına göre energy kazanın.,Consume un alimento de tu maletero. Cura el hambre. Gana energy en relación con el precio del artículo consumido.,,"Скушайте что-нибудь из багажника. Восстанавливается energy пропорционально цене еды, голод пропадает",,"З'їжте щось їстівне з багажника. Утамовує голод, а energy відновлюється пропорційно до ціни їжі",,消耗1件后备箱里的食物。饥饿全消。基于所消耗食物的价格获取energy。,トランク内の食べ物を消費し、空腹が完全に治ります。また、消費したアイテムの価格に応じたenergyを獲得します,Consome um item de comida de seu porta-malas. Cura toda a fome. Ganhe energy relativa ao preço do item consumido,
skill_cravings_title,Petites envies,Sugen,Aşerme,Antojos,,Жажда,,Жадоба,,如饥似渴,渇望,Desejos,
skill_cravings_desc,Utilisable uniquement en cas de faim,Kan bara användas när du är hungrig,Sadece açken kullanılabilir,Solo utilizable con hambre,,Можно использовать только при голоде,,Можна застосувати лише коли ви голодні,,仅饥饿时可用。,空腹のときのみ使用可能です,Só é utilizável quando estiver com fome,
skill_fine_dining_title,Estomac qui Gargouille,Kurr i magen,Mide Guruldaması,Gruñido estomacal,,Урчание живота,,Бурчання шлунку,,肚子打鼓,腹の虫,Estômago Roncando,
skill_fine_dining_desc,Si vous avez faim: gagnez 1 en armor. Si vous êtes ivre: devenez Satisfait(e),Om hungrig: få ett armour. Om full: bli Tillfredställd,Açsanız: bir armor kazanırsınız. Sarhoşsanız: Memnun olursunuz.,Si tienes hambre: ganas una armor. Si estás borracho: pasarás a estar Satisfecho,Si tienes hambre: ganas una armor. Si estás borracha: pasarás a estar Satisfecha,Если голодны: +1 armor. Если пьяны: становитесь довольными,,У разі голоду: +1 armor. У разі сп'яніння - задоволення,,如果饥饿，则获得1点armor。如果醉酒，则进入满足状态。,空腹の場合、armorを1獲得します。飲酒状態の場合、満足状態になります,Se estiver com fome: ganhe uma armor. Se estiver bêbado: fique Satisfeito,Se estiver com fome: ganhe uma armor. Se estiver bêbada: fique Satisfeita
skill_social_free_title,Encourager,Uppmuntra,Teşvik Et,Alentar,,Поощрение,,Заохочення,,加油打气,励まし,Encorajar,
skill_social_free_desc,"Si vous êtes sociable, cela ne vous coûte rien",Om du är social kostar detta ingenting,"Sosyalseniz, bunun hiçbir maliyeti yoktur","Si eres sociable, no cuesta nada",,Если вы дружелюбны - этот навык бесплатен,,"Застосування безплатне, якщо ви товариські",,如果擅于社交，则费用为0。,社交的であれば、コストがかかりません,"Se você for social, isso não custará nada",
skill_road_trip_2_title,Road Trip!,Roadtrip!,Yolculuk!,¡Viaje por carretera!,,Поездочка!,,Дорожня пригода!,,公路之旅！,ドライブ旅行！,Pé na Estrada!,
skill_road_trip_2_desc,Obtenir un parfait avec cette compétence vous donne le statut de sociable,Om du får perfekt med denna så får du social status,Bunu mükemmel şekilde kullanmak size sosyal statüsü kazandırır,Conseguir «perfectos» con esta habilidad te brinda el estado «sociable»,,"Совершив идеальное попадание этим навыком, вы станете дружелюбным",,Бездоганне влучання цим умінням робить вас товариським,Бездоганне влучання цим умінням робить вас товариською,使用该技能实现完美命中时，进入社交状态。,このスキルでパーフェクトを出すと、社交的になります,Conseguir perfeito com isso fará com que você receba a condição social,
skill_rowdy_bunch_title,Brunch Mouvementé,Stökigt gäng,Gürültücü grup,Montón ruidoso,,Шумная компашка,,Галаслива компанія,,哄堂大吵,うるさいやつら,Bando Desordeiro,
skill_rowdy_bunch_desc,Détruisez une threat de manière aléatoire. Répétez pour chaque autostoppeur(se) dans votre voiture,Ta bort ett random threat. Upprepa för varje liftare i bilen,Rastgele bir threat yok edin. Arabanızdaki her otostopçu için tekrarlayın.,Destruye una threat aleatoria. Repite por cada autoestopista a bordo,,Устраняется одна случайная threat за каждого попутчика в машине,,За кожного автостопника у вашому авто усувається випадкова threat.,,随机消除1个threat。车里有多少个乘客，就重复多少次。,ランダムなthreatを1つ破壊します。同乗しているヒッチハイカーの人数分、効果が繰り返します,Destrói uma threat aleatória. Repita para cada caroneiro em seu carro,
skill_hh_restore_title,Encouragement,Hurra,Tezahürat,Anímate,,Поддержка,,Підбадьорювання,,欢呼喝彩,応援,Ânimo,
skill_hh_restore_desc,Restaure une utilisation pour chaque compétence de l'autostoppeur(se).,Återställ en användning på varje liftares skill,Her otostopçu bir yetenek kullanımını geri kazandır,Restaura un uso a cada habilidad de los autoestopistas.,,Каждый навык попутчиков восстанавливает одно использование,,Відновлює 1 застосування кожного вміння автостопника,,每个搭车客技能恢复1次可用次数。,各ヒッチハイカースキルの使用回数が1回復します,Restaura um uso para cada habilidade de cada caroneiro,
skill_sing_along_title,Travail d'Equipe,Lagarbete,Takım Çalışması,Trabajo en equipo,,Командная работа,,Командна робота,,团队合作,チームワーク,Trabalho em Equipe,
skill_sing_along_desc,Devenez Joyeux(se). Chaque fois que vous utilisez une compétence d'autostoppeur(se) : récupérez 1 energy.,Bli glad. Återställ en energy varje gång du använder en liftares skill under eventet,Mutlu Olun. Bu etkinlikte otostopçu yeteneği kullandığınızda: Bir energy geri kazanın,Te vuelves feliz. Siempre que uses una habilidad de autoestopista en este evento: Restaura una energy,,Вас окутывает счастье. При каждом использовании навыка попутчика восстанавливается 1 energy,,Станьте щасливими. За кожне застосоване вміння автостопника в цій події відновлюватиметься 1 energy,,进入快乐状态。本次事件中任何时候使用搭车客技能时，恢复1点energy。,幸せになります。このイベント中にヒッチハイカーのスキルを使用するたびに、energyが1つ回復します,Torne-se Feliz. Sempre que você usar uma habilidade de caroneiro neste evento: Restaura uma energy,
skill_overdrive_title,Surcharge,Högvarv,Aşırı hız,Sobrecarga,,Перегрузка,,Стрімголов,,超频疾走,オーバードライブ,Ultrapassagem,
skill_sixth_gear_title,Changement de vitesse express!,Slirväxlande!,Debriyajsız vites değiştirme,¡Cambio deslizante!,,Без сцепления!,,Підступна передача!,,快速换挡！,スリップシフティング！,Trocando Marchas!,
skill_step_on_it_title,Pied au plancher!,Gasen i botten!,Üzerine bas!,¡Pisa a fondo!,,Наступи!,,Станьте на неї!,,马力全开！,アクセルベタ踏み！,Pisa fundo!,
skill_step_on_it_desc,"Si vous vous échappez après avoir utilisé cette compétence, gagnez 3 en armor.",Om du flyr event efter att ha använt den här skillen får du 3 armour,Bu beceriyi kullandıktan sonra kaçarsan 3 armor kazanırsın.,"Si logras escapar tras usar esta habilidad, ganas 3 de armor",,Если использовать этот навык и сбежать: +3 armor,,У разі втечі після застосування цього вміння: armor +3,,如果使用该技能后成功逃脱，获得3点armor。,このスキルの使用後に逃げ切ると、armorを3獲得します,"Se você fugir após usar esta habilidade, ganhe 3 de armor",
skill_nice_seats_title,Sympas les sièges!,Fräna säten!,Güzel koltuklar!,¡Buenos asientos!,,Классные сиденья!,,Чудові крісла!,,椅子不错！,いい感じの座席！,Belos bancos!,
skill_pull_through_title,Accrochez-vous!,Ro i land!,Paçayı kurtar!,¡Sigue adelante!,,Прорвёмся!,,Прорвись!,,坚持到底！,通り抜け方式！,Dê a seta e ultrapasse!,
skill_nice_wheels_title,Des Roues au Top,Schyssta hjul!,Güzel Tekerlekler,Buenas ruedas,,Классные колёса,,Нічогенькі колеса,,轮胎不错,いい感じのホイール,Belas Rodas,
skill_nice_wheels_desc,Déclenche l'effet de vos roues.,Trigga igång hjulens effekt,Tekerleklerinizin etkisini tetikleyin,Activa el efecto de tus ruedas,,Активирует эффект установленных колёс,,Активуйте особливість ваших коліс,,触发车轮效果。,ホイールの効果を発動させます,Ativa o efeito de suas rodas,
skill_power_break_title,Connaissance Aléatoire,Random Kunskap,Rastgele Bilgi,Conocimiento aleatorio,,Случайное знание,,Випадкове знання,,随机知识,ランダムな知識,Conhecimento Aleatório,
skill_power_break_desc,Élimine de 1-6 threat aléatoire,Ta bort 1-6 random threat,1-6 rastgele threat yok et,Destruye entre 1 y 6 threat(s). Es aleatorio.,,Устраняется threat (1-6 случайных),,"Усувається випадкова threat, від 1 до 6",,随机消除1至6个危机。,ランダムな1～6つのthreatを破壊します,Destrói 1-6 threat(s) aleatória(s),
skill_running_on_fumes_title,À sec,Kör på ånga,Dumanla çalışır,Al límite de la reserva,,На честном слове,,Їзда на випарах,,油量告急,ガス欠寸前,Na reserva,
skill_running_on_fumes_desc,Coûte 1 de moins pour chaque compétence exhausted,Kostar 1 mindre för varje exhausted skill,Her tükenen beceri için 1 daha az maliyetlidir,Cuesta 1 menos por cada habilidad exhausted,,Стоит на 1 меньше за каждый exhausted навык,,Ціна зменшується на 1 за кожне exhausted вміння,,每有1个exhausted技能，费用减1。,枯渇したスキル1つにつき、コストが1つ減ります,Custa 1 a menos para cada habilidade exhausted,
skill_instruct_title,Initier,Instruera,Talimat Ver,Instruir,,Обучение,,Указання,,讲解说明,指示,Instruir,
skill_eco_reminder_title,Éco-rappel,Eko-påminnelse,Eko-hatırlatıcı,Eco-recordatorio,,Эко-напоминание,,Еконагадування,,环保提醒,エコリマインダー,Lembrete Ecológico,
skill_excuse_title,Prétexte,Ursäkt,Mazeret,Pretexto,,Предлог,,Причина,,借口托词,言い訳,Desculpa,
skill_backrubber_title,Flirt,Flört,Flört,Coquetear,,Флирт,,Флірт,,打情骂俏,思わせぶり,Flertar,
skill_backrubber_desc,Devenez ail_inspired et fatigué(e),Bli ail_inspired och trött,ail_inspired ve yorgun ol,Le viene la inspiración y el cansancio,,Вы одновременно испытываете ail_inspired и усталость,,Вас охоплює ail_inspired й утома,,进入ail_inspired和疲倦状态。,ail_inspiredと疲労状態になります,Fique ail_inspired e cansado,Fique ail_inspired e cansada
skill_lose_status_title,Pleine Conscience,Leva-i-nuet,Farkındalık,Mindfulness,,Сознательность,,Усвідомленість,,专注当下,マインドフルネス,Atenção Total,
skill_lose_status_desc,Élimine TOUS les effets de statut,Ta bort ALLA statuseffekter,TÜM durum etkilerini kaldır,Elimina TODOS los efectos de estado,,Снимаются ВСЕ активные эффекты состояния,,Знімає ВСІ ефекти стану,,消除所有状态效果。,ステータス効果をすべて除去します,Remove TODOS os efeitos de condição,
skill_knowitall_title,Mr. je sais tout,Besserwisser,Bay herşeyi bilen,Mr. Sabelotodo,,Всезнайка,,Усезнайко,,万事通,知ったかぶり,Sr. Sabichão,Sra. Sabichona
skill_super_cheer_title,Petit Massage,Ryggkli,Sırt masajı,Masaje en la espalda,,Массаж спины,,Масаж спини,,背部按摩,背中マッサージ,Massagem nas Costas,
skill_refreshing_thoughts_title,Pensées rafraichissantes,Uppfriskande tankar,Canlandırıcı düşünceler,Pensamientos refrescantes,,Освежающие мысли,,Живодайні думки,,神清气爽,斬新なアイデア,Pensamentos revigorantes,
skill_refreshing_thoughts_desc,Restaure 3 en energy,Återställ 3 energy,3 energy geri kazandırın,Restaura 3 de energy,,Восстанавливается energy (3),,Відновите: energy +3,,恢复3点energy。,energyを3回復します,Restaura 3 de energy,
skill_smoke_break_title,Pause clope,Rökpaus,Sigara molası,Pausa para fumar,,Перекур,,Перекур,,小抽一支,タバコ休憩,Pausa para fumar,
skill_smoke_break_desc,Change chaque threat durability en energy et gagnez une cigarette.,Byt alla durability threat till energy och få en cigg,Tüm durability threat leri energy dönüştürün ve bir sigara kazanın,Cambia toda threat de durability por energy y consigues un cigarrillo,,"Каждая threat типа durability меняется на energy, вы получаете сигарету",,Кожна threat типу durability зміниться на: energy. Ви отримаєте цигарку.,,将所有durabilitythreat转换为energy型，并获得1支香烟。,すべてのdurabilityのthreatをenergyに変え、タバコを1本獲得します,Altera toda a durability da threat para energy e ganhe um cigarro,
skill_whack_title,Paf!,Kasst!,Kahretsin!,¡Zas!,,Бумц!,,Трясь!,,沉重一击！,ガツン！,Pancada!,
skill_peptalk_title,Motivation,Pepptalk,Motivasyon konuşması,Charla motivadora,,Подбадривание,,Натхненна промова,,动员讲话,ペップトーク,Discurso motivacional,
skill_peptalk_desc,Gagnez 2 en energy.,Få 2 energy,2 energy kazanın,Gana 2 de energy,,energy +2,,Ви отримаєте: energy +2,,获得2点energy。,energyを2獲得します,Ganhe 2 de energy,
skill_fast_repair_title,Réparation-rapide,Blixt-reparation,Hızlı Onarım,Reparación veloz,,Быстрый ремонт,,Швидкий ремонт,,快速维修,応急修理,Conserto Rápido,
skill_fast_repair_desc,Gagnez 2 en durability.,Få 2 durability,2 durability kazanın,Gana 2 de durability,,durability +2,,Отримаєте: durability +2,,获得2点durability。,durabilityを2獲得します,Ganhe 2 de durability,
skill_pocket_change_title,Monnaie de poche,Fickpengar,Cep Harçlığı,Dinero suelto,,Мелочёвка,,Дрібні гроші,,零钱,小銭,Troco,
skill_pocket_change_desc,Gagnez 10$,Få 10 pengar,10$ Kazanın,Gana $10,,Получите 10 баксов,,Отримаєте $10,,获得$10。,$10を獲得します,Ganhe $10,
skill_dealmaker_title,Faire des affaires,Göra affärer,Anlaşma Yapmak,Haciendo negocios,,Заключение сделок,,Укладання угод,,交易往来,取引,Fechando Negócios,
skill_scavenge_title,Fouiller,Rota fram,Çöp Toplama,Rebuscar,,Добыча,,Копирсання,,拾荒,ゴミあさり,Vasculhar,
skill_scavenge_desc,Ajoute un petit objet au hasard dans votre boîte à gants.,Lägg till ett random mindre föremål i handskfacket,Torpido gözünüze rastgele küçük bir eşya ekleyin,Añade un objeto pequeño aleatorio a tu guantera,,Добавляет случайный предмет в бардачок,,У вашому бардачку з'явиться випадковий маленький предмет,,在杂物箱中随机添加一件小型物品。,ランダムな小さなアイテムを1個、グローブボックスに追加します,Adiciona um pequeno item aleatório ao seu porta-luvas,
skill_on_the_edge_title,Sur le fil du rasoir,Leva på utkanten,Sınırda Yaşamak,Vivir al límite,,Жизнь на грани,,Життя на межі,,刀尖求生,危険と隣り合わせ,Vivendo no limite,
skill_on_the_edge_desc,Détruit une threat aléatoire une menace aléatoire pour chaque statut actif.,Ta bort ett random threat för varje aktiv status,Her aktif durum için rastgele bir threat yok edin,Destruye una threat aleatoria por cada estado activo,,Устраняется одна случайная threat за каждое активное состояние,,За кожний активний стан усувається одна випадкова threat,,每有1个生效状态，随机消除1个threat。,得ているステータス1つにつき、ランダムなthreat1つを破壊します,Destrói uma threat aleatória para cada condição ativa,
skill_time_out_title,Pause!,Time Out!,Mola!,Tiempo muerto,,Перерыв!,,Перерва!,,时限已至！,タイムアウト！,Tempo Esgotado!,
skill_time_out_desc,Élimine toutes les alertes de threat dans la zone ciblée.,Ta bort alla threat varningar i målsiktet,Hedef alandaki tüm threat uyarılarını kaldırın.,Elimina todas las advertencias de threat en la zona objetivo,,Каждая threat под прицелом теряет замысел,,Кожна threat в цільовій зоні втрачає свій намір,,消除目标区域内的所有threat预警。,ターゲットエリア内のthreatの警告をすべて除去します,Remove todos os alertas de threat na área-alvo,
skill_shady_deals_title,Affaires louches,Skumma affärer,Şaibeli İş,Tratos turbios,,Тёмные делишки,,Оборудки,,地下交易,怪しい取引,Acordos Suspeitos,
skill_shady_deals_desc,Ne coûte rien la nuit.,Kostar ingenting på natten,Geceleri hiçbir maliyeti yok,Gratis por la noche,,Ночью ничего не стоит,,"Застосування безплатне, якщо на дворі ніч",,夜晚费用为0。,夜はコストがかかりません,Não custa nada à noite,
skill_crafting_title,Artisanat,Pyssel,İşçilik,Fabricación,,Кулибин,,Рукоділля,,手工制作,クラフト,Criação,
skill_crafting_desc,Gagne un,Få threat mönster från alla föremål i handskfacket,Torpido gözünüzdeki tüm eşyalardan threat deseni kazanır,Obtén el patrón de threat de todos los objetos de tu guantera,,Каждая threat подстраивается под шаблон предметов из бардачка,,Кожна threat отримує тип на основі предметів у вашому бардачку,,获得杂物箱中所有物品的threat组合。,グローブボックスのすべてのアイテムから、threatのパターンを獲得します,Ganha o padrão de threat de todos os itens em seu porta-luvas,
skill_escape_plan_title,Plan d'évasion!,Flyktplan!,Kaçış planı!,Plan de escape,,План побега!,,План утечі!,,逃亡计划！,脱出計画！,Plano de fuga!,
skill_escape_plan_desc,Change toute threat attaquante en gas,Byt alla attackerande threat till gas,Tüm threat leri gas çevirin.,Cambia toda threat atacante a gas,,Каждая атакующая threat меняет свой тип на gas,,Кожна threat з атакувальним наміром змінює тип на gas,,将所有类型的进攻threat转换为gas型。,攻撃してくるthreatをすべてgasに変えます,Muda todas as unidades de threat atacantes para gas,
skill_cower_title,Battre en Retraite,Kura ihop,Cower,Acobardar,,Страх,,Зіщультеся,,畏缩不前,萎縮,Retração,
skill_cower_desc,Change toute alerte threat en debuff.,Byt alla threat varningar till debuff,Tüm tehdit uyarılarını debuff etkisine dönüştür,Cambia todas las advertencias de threat a debuff,,Каждая threat меняет свой замысел на: debuff,,Кожна threat змінює намір на debuff,,将所有threat预警转换为debuff。,threatの警告をすべてdebuffに変えます,Altera todos os alertas de threat para efeitos negativos,
skill_adapt_title,Adaptation,Anpassa,Uyarla,Adaptarse,,Гибкость,,Ладнайтеся,,随机应变,順応,Adaptar,
skill_adapt_desc,Change les cibles en fonction du type de route actuel.,Byter mål efter aktuell vägtyp,Hedefleri mevcut yol türüne göre değiştirir,Cambia los objetivos según el tipo de carretera actual,,Целевые угрозы меняются в зависимости от типа дороги,,"Загрози, на які діє вміння, змінюються залежно від типу дороги.",,根据当前道路类型调整图标。,現在の道路の種類に合わせてターゲットが変わります,Altera os alvos para o tipo de estrada atual,
skill_piercer_title,Astuce,Listig,Kurnazlık,Astucia,,Коварство,,Підступність,,诡计多端,狡猾,Destreza,
skill_piercer_desc,Ignore les Shields.,Ignorerar Shields,Kalkanları görmezden gelir,Ignora shields,,Игнорирует Shields,,Ігнорує щити,,无视Shields。,Shieldsを無視します,Ignora os Shields,
skill_safety_first_title,Sécurité avant tout!,Säkerheten först!,Önce Güvenlik!,Seguridad ante todo,,Главное - безопасность!,,Безпека перш за все!,,安全第一！,安全第一！,Segurança em Primeiro Lugar!,
skill_safety_first_desc,Gagnez 2 en armor.,Få 2 armor,2 armor kazanın,Gana 2 de armor,,armor +2,,Отримаєте: armor +2,,获得2点armor。,armorを2獲得します,Ganhe 2 de armor,
skill_armor_shatter_title,Tiens ma bière,Håll min öl,Biramı tut,Sujétame el cubata,,Держите моё пиво,,Тримайте моє пиво,,放着我来,無謀な挑戦,Segure a minha breja,
skill_armor_shatter_desc,"Élimine toute l'armor, détruit 1 threat pour chaque armor perdue.","Ta bort all armor, ta bort 1 threat för varje tappat armor","Tüm armor kaldır, kaybedilen her armor için 1 threat yok et","Elimina toda armor, destruye 1 threat por cada armor perdida",,Вся armor сбрасывается и за каждую единицу устраняется 1 threat,,Знімає увесь armor. За кожний знятий armor усувається 1 threat,,消除所有armor。损失多少armor，消除多少threat。,armorをすべて除去し、除去されたarmor1つにつき、threatを1つ破壊します,"Remove toda a armor, destruindo 1 threat para cada armor perdida",
skill_fixer_title,Scout,Vargunge,Yavru İzci,Lobato,,Юный скаут,,Вовченя,,小童子军,カブスカウト,Escoteiros,
skill_fixer_desc,Gagnez 1 en armor pour chaque threat éliminée avec ceci.,Få 1 armor för varje threat som tas bort med denna,Bu yetenekle kaldırılan her threat için 1 armor kazan,Gana 1 armor por cada threat eliminada con esta habilidad,,Каждая устранённая этим навыком threat даёт: 1 armor,,Кожна усунена цим умінням threat надає 1 armor,,该技能消除多少threat，就获得多少armor。,このスキルで除去されたthreat1つにつき、armorを1つ獲得します,Ganhe 1 armor para cada threat removida com isso,
skill_exploit_title,Exploiter,Utnyttja,Açık,Explota,,Уязвимость,,Зловживання,,剥削压榨,悪用,Exploração,
skill_exploit_desc,Ajoutez 2 threat money et gagnez 20 balles. Réinitialise toutes les alertes threat en attaque.,lägg till 2 money threat och få 20 pengar. Återställer alla attackerande threat varningar,2 para threat ekleyin ve 20 nakit kazanın. Tüm saldırı threat uyarılarını sıfırlayın.,Añade 2 threats de money y gana 20 en efectivo. Reinicia todas las advertencias de threat de ataque,,"Сбрасываются все замыслы угроз, появляется threat money (2 шт.) и получаете 20 баксов",,з'являється threat типу money (2) і додається 20 готівкою. Всі атакувальні наміри скидаються,,增加2点moneythreat，获得20资金。重置所有进攻threat预警。,moneyのthreatを2つ追加し、所持金を20獲得します。また、攻撃threatの攻撃警告をすべてリセットします,Adiciona 2 unidades de threat de money e ganhe 20 de dinheiro. Redefine todos os alertas de threat atacantes.,
skill_going_home_title,Rentrer a la maison,Åka hem,Eve Dönüş,Yendo a casa,,Пора домой,,Я їду додому,,返乡归家,帰宅,Indo para Casa,
skill_going_home_desc,Échappez-vous de l'imprévu sans prendre de dégât,Fly från eventet utan att ta någon skada,Etkinlikten hasar almadan kaçın,Escapa del evento sin recibir ningún daño,,Позволяет сбежать не получая урона,,Ви втечете з події без жодних ушкоджень,,无伤逃离事件。,ダメージを受けずにイベントから脱出します,Fuja do evento sem receber dano algum,
skill_dont_worry_title,T'inquiètes!,Ingen oro!,Merak etme!,¡No te preocupes!,,Спокойствие!,,Не хвилюйтеся!,,不必焦虑！,心配無用！,Não Esquenta!,
skill_dont_worry_2_title,T'inquiètes!,Ingen oro!,Merak etme!,¡No te preocupes!,,Спокойствие!,,Не хвилюйтеся!,,不必焦虑！,心配無用！,Não Esquenta!,
skill_dont_worry_2_desc,Élimine une threat de chaque type,Ta bort en av varje threat,Her threat birini kaldırın,Elimina una threat de cada tipo,,Устраняется одна threat каждого типа,,Зникає одна threat кожного типу,,每种threat消除1个。,各threatを1つずつ除去します,Remove uma de cada threat,
skill_drunk_master_title,T'es Fun!,Du är kul!,Eğlencelisin!,¡Me parto contigo!,,Весельчак!,,Прикольний!,Прикольна!,你很有趣！,面白い奴！,Você é Divertido!,Você é Divertida!
skill_drunk_master_desc,Utilisable seulement quand vous êtes ivre ou défoncé.,Kan bara användas när du är full eller hög,Sadece sarhoşken veya uyuşturucu etkisindeyken kullanılabilir,Solo utilizable estando borracho o colocado,Solo utilizable estando borracha o colocada,Можно использовать только пьяным или под наркотой,Можно использовать только пьяной или под наркотой,Можна застосувати лише п'яним або під кайфом,Можна застосувати лише п'яною або під кайфом,仅醉酒或嗑嗨时可用。,飲酒状態かハイのときのみ使用可能です,Só é possível utilizar quando estiver bêbado ou brisado,Só é possível utilizar quando estiver bêbada ou brisada
skill_poison_heart_title,Coeur empoisonné,Poison Heart,Zehirli Kalp,Corazón envenenado,,Ядовитое сердце,,Отруйне серце,,怨毒之心,ポイズンハート,Coração Envenenado,
skill_poison_heart_desc,Élimine 3 threat aléatoires,Ta bort 3 random threat,3 rastgele threat kaldır,Elimina 3 threats aleatorias.,,Устраняется threat (3 случайные),,Усувається threat (3 випадкових),,随机消除3个threat。,ランダムなthreat3つ除去します,Remove 3 unidades de threat aleatórias,
skill_bastards_of_young_title,Sales Gosses,Bastards of young,Genç piçler,Bastards of young,,Bastards of young,,Bastards of Young,,年轻混混,バスターズ・オブ・ヤング,Bastards of young,
skill_bastards_of_young_desc,Ne coûte rien si vous écoutez du punk.,Kostar ingenting om du lyssnar på punk,Punk dinliyorsanız hiçbir maliyeti yok,No tiene coste alguno si estás escuchando punk,,"Ничего не стоит, если в магнитоле гремит панкуха",,"Застосування безплатне, якщо в магнітолі рубає панк",,如果正在听朋克小子说话，则费用为0。,パンク音楽を聴いている間はコストがかかりません,Não custará nada se você estiver ouvindo punk,
skill_songwriter_soothe_title,Sales Gosses,Bastards of young,Genç Piçler,Bastards of Young,,Bastards of young,,Покидьки юності,,年轻混混,バスターズ・オブ・ヤング,Bastards of Young,
skill_songwriter_soothe_desc,"Élimine une threat à l'extrémité gauche et droite, et soigne un effet négatif aléatoire.",Ta bort threat längst till höger och vänster och tar bort en random negativ status,En soldaki ve en sağdaki threat kaldırın ve rastgele bir olumsuz durumu iyileştirin,Elimina la threat de la izquierda y de la derecha y cura un estado negativo aleatorio,,"Устраняется крайняя threat слева и справа, исцеляется одна порча",,"Усувається крайня threat праворуч і ліворуч, зцілюється випадковий негативний стан",,消除最左和最右的threat，并随机消除1个负面状态。,一番左と一番右のthreatを除去し、ランダムなデバフ1つを治療します,"Remove a threat mais à esquerda e à direita, curando uma condição negativa aleatória",
skill_motor_breath_title,Souffle du Moteur,Motor Breath,Motor Nefesi,Aliento a motor,,Дыхание мотора,,Моторне дихання,,引擎吐息,モーターブレス,Ronco do Motor,
skill_bark_title,Ouaf!,Voff!,Havla!,¡Ladra!,,Гав!,,Гавк!,,汪！,ワンワン！,Latido!,
skill_pet_title,Caresser,Klapp,Evcil Hayvan,Mascota,,Ласка,,Пестощі,,宠物,ペット,Mascote,
skill_fetch_title,Va chercher!,Apport!,Getir!,¡Busca!,,Апорт!,,Апорт!,,捡回来！,取ってこい！,Vá Buscar!,
skill_innocence_title,Innocence,Oskyldighet,Masumiyet,Inocencia,,Невинность,,Невинність,,纯真无邪,無邪気,Inocência,
skill_innocence_desc,Peut être utilisé uniquement quand l'energy est au max.,Kan bara användas på max energy,Yalnızca maksimum energy kullanılabilir,Solo se puede utilizar con la energy al máximo,,Можно использовать лишь когда energy на максимуме,,Можна застосувати лише коли energy максимальна,,只能在energy满格时使用。,energy最大時にのみ使用可能です,Só pode ser utilizado quando estiver com a energy máxima,
skill_kid_game_1_title,Je vois...,Jag ser...,Gözetlerim...,"Veo, veo...",,Я вижу...,,Я бачу...,,我看见......,みーつけた！,Estou Vendo...,
skill_kid_game_1_desc,Se transforme en un autre jeu une fois utilisé.,Byt den här skillen till ett annat spel,Bu yeteneği başka bir oyuna aktar,Cambia esta habilidad a otro juego,,Навык меняется на другую игру,,Змінює це вміння на іншу гру,,将本技能转移到另一局游戏。,このスキルを別のゲームに変えます,Altera esta habilidade para outro jogo,
skill_kid_game_2_title,Punch Buggy!,Gul bil!,Tosbağa!,¡Coche amarillo!,,Бей жучка!,,Бий жука!,,碰碰车！,パンチ・バギー！,Fusca Azul!,
skill_kid_game_2_desc,Élimine 3 threat. Se transforme en un autre jeu une fois utilisé.,Ta bort 3 threat. Byt den här skillen till ett annat spel,3 threat ortadan kaldır. Bu yetenekği başka bir oyuna aktar.,Elimina 3 threats. Cambia esta habilidad a otro juego,,"Устраняется threat (3 шт.), навык меняется на другую игру",,Усувається threat (3). Уміння змінюється на іншу гру,,消除3个threat。将本技能转移到另一局游戏。,threatを3つ除去します。また、このスキルを別のゲームに変えます,Remove 3 unidades de threat. Altera esta habilidade para outro jogo.,
skill_kid_game_3_title,Le Jeu du Silence,Tysta leken,Sessiz Oyun,El juego del silencio,,Тихая игра,,Мовчанка,,比比谁安静,サイレントゲーム！,Vaca Amarela Pulou a Janela,
skill_kid_game_3_desc,Gagnez 3 energy et 3 armor. Se transforme en un autre jeu une fois utilisé.,Få 3 energy och 3 armor. Byt den här skillen till ett annat spel,3 energy ve 3 armor kazanın. Bu yetenekği başka bir oyuna aktarın.,Gana 3 de energy y 3 de armor. Cambia esta habilidad a otro juego,,"+3 energy, +3 armor. Навык меняется на другую игру",,Ви отримаєте: energy +3 й armor +3. Уміння змінюється на іншу гру,,获得3点energy及3点armor。将本技能转移到另一局游戏。,energyを3、armorを3獲得します。また、このスキルを別のゲームに変えます,Ganhe 3 de energy e 3 de armor. Altera esta habilidade para outro jogo,
skill_songwriter_setup_title,Ambiance musicale,Musikhumör,Müzik Ruh Hali,Ganas de música,,Музыкальное настроение,,Музичний настрій,,乐兴大发,音楽な気分,No Clima para Ouvir Música,
